Name,Algorithm,Domain 1,EXT,LEX_LVL,LLM,Library Segment,MF_count,Notes,Origin,PIL,Passage Version,Passage_Text,Revision_Type,Rollout_Number,Set,Source Model,Status,Synced,TONE_REC 1,Tier Type,Word Count
EXT-6A-03,ALG-04,SOC,EXT-M,LEX-A,GPT,EXT,,TABOO,SYN,PIL-H,,"Many organizations notice that flexible work policies gradually, almost quietly, produce uneven participation across teams. At first, leaders often assume the difference reflects motivation or personal commitment, especially when some employees continue coming into the office most days while others regularly choose to stay home. The more durable influence, however, tends to involve how teams coordinate daily tasks and solve minor problems in real time, since informal updates and quick clarifications are simply easier when people share the same physical space for long stretches of the day. Additionally, workers who spend more time on site are more likely to be included in spontaneous discussions and unplanned exchanges, which slowly shape project direction, visibility, and even informal reputation. Over months, these small patterns of access and interaction accumulate in subtle but consistent ways, so the policy designed to expand choice and increase autonomy ends up concentrating opportunity among those whose routines, often without deliberate intent, keep them physically present.",,11,,,Validated,,TON-FRK,,158
EXT-GOV-006,ALG-04,GOV,EXT-M,LEX-A,GPT,EXT,,,SYN,PIL-H,,"Corporate lobbying is a persistent feature of modern legislative systems, often explained simply as firms seeking to protect their immediate economic interests. This explanation, however, overlooks how lobbying operates as an information-transmission mechanism within complex policymaking environments. Because legislators face time constraints and technical uncertainty, organized corporate actors supply research, draft language, and forecasts that shape which policy options appear feasible. Additionally, repeated interactions create durable relationships that reward consistency and access rather than outright persuasion. The broader significance is that influence emerges less from single transactions than from structural dependence on specialized input, a pattern that complicates assumptions about transparency and democratic balance. In such settings, formal restrictions may shift tactics without altering the underlying demand for expertise. These dynamics illustrate how governance outcomes are often driven by institutional design as much as by stated policy preferences rather than by the visibility of individual lobbying efforts.",,12,,,Validated,,TON-SCI,,147
EXT-6B-01,ALG-04,HEA,EXT-L,LEX-A,GPT,EXT,,,SYN,PIL-F,,"Nightshift work is often linked to fatigue, metabolic strain, and mood disturbance, and these outcomes are frequently attributed to simply sleeping fewer hours than the body requires. That explanation, however, remains incomplete because the deeper issue involves circadian misalignment, a condition in which internal biological rhythms stay timed to daytime activity despite repeated schedule changes over months or even years. As a result, hormone release, body temperature cycles, and alertness patterns continue to peak at biologically inappropriate moments, even when workers believe they have adjusted and feel subjectively accustomed to the routine. Additionally, exposure to artificial light at night suppresses signals that normally support restorative sleep, weakening recovery, disrupting hormonal balance, and limiting physiological repair across multiple systems. Over time, this persistent mismatch accumulates stress rather than resolving it through gradual adaptation, so symptoms often intensify despite years of experience on the job and consistent effort to manage fatigue. Such patterns illustrate that health outcomes depend less on visible routines or personal discipline than on whether internal regulatory systems are allowed to stabilize, synchronize, and maintain consistent timing across cycles.",,13,,,Validated,,TON-HBRN,,180
EXT-HLT-003,ALG-04,HLT,EXT-L,LEX-A,GPT,EXT,,,SYN,PIL-F,,"In countries considering universal public healthcare, the coexistence of private health insurance is often framed as a simple matter of consumer choice or market efficiency, particularly in policy discussions emphasizing flexibility and innovation. This interpretation overlooks how parallel insurance markets interact with public systems through less visible incentives, administrative complexity, and risk sorting that shape institutional behavior. When higher-income or healthier individuals opt out of public coverage, funding stability can be affected because public systems rely on broad participation to balance costs and sustain predictable revenue flows. Additionally, private insurers may concentrate on low-risk patients, leaving public providers with more complex and expensive cases, which strains resources, influences staffing decisions, and complicates service planning even if coverage is universal in principle. These dynamics suggest that outcomes attributed to ideological preferences are frequently driven by structural design choices embedded in financing models, regulatory frameworks, and reimbursement mechanisms. Such patterns illustrate that the effectiveness of universal healthcare depends not only on access guarantees, but on how overlapping systems redistribute risk and shape long-term sustainability under real operational conditions.",,14,,,Validated,,TON-FRK,,176
EXT-6B-02,ALG-03,GOV,EXT-L,LEX-A,GPT,EXT,,,SYN,PIL-F,,"Increasingly, governments are digitizing public records to improve access, reduce storage costs, and signal administrative transparency. The trend is often explained as a straightforward upgrade, since digital files appear easier to search, duplicate, and distribute than paper archives. However, long-term preservation often depends less on format and more on continuous maintenance, a requirement that can complicate accountability and legal verification when resources are uneven. Digital records require active oversight, including software updates, regular migration across storage systems, and protection against data corruption or format obsolescence. When these processes are underfunded or inconsistently applied, digital archives can quietly degrade or become unreadable over time, forcing institutions to reconstruct lost information at significant cost. In contrast, physical documents stored in stable conditions may remain accessible for decades with minimal intervention. This creates an ironic risk in which modernization increases short-term availability while weakening long-term institutional memory. Such patterns suggest that digitization alone does not guarantee durability and may, without sustained oversight, accelerate the archival decay it was intended to prevent.
",,15,,,Validated,,TON-SCI,,168
EXT-INT-007,ALG-03,INT,EXT-L,LEX-A,GPT,EXT,,,SYN,PIL-M,,"Increasingly, orbital debris has become a visible concern in international space operations, as satellites, fragments, and abandoned equipment accumulate in low Earth orbit. Much of the attention focuses on the rapid growth of commercial launches, which are often blamed for congestion because they multiply the number of objects circling the planet. However, the underlying driver is not only launch frequency but also the absence of binding global rules that govern end-of-life disposal, liability, and shared responsibility among spacefaring actors. As a result, even states with advanced tracking systems contribute to the problem when older hardware remains in orbit for decades, gradually increasing collision risk and operational uncertainty for both public and private missions. The irony is that proposals making debris cleanup mandatory would rely on the same cooperative mechanisms, data sharing agreements, and diplomatic coordination that have struggled to manage space traffic so far. These proposals highlight a paradox in which enforcement capacity lags behind technological capability, leaving collective risk widely recognized but institutionally difficult to resolve.",,16,,,Validated,,TON-HBRN,,167
EXT-6B-03,ALG-09,WRK,EXT-L,LEX-A,GPT,EXT,,,SYN,PIL-F,,"Across many labor markets, wages often remain closely tied to occupational prestige even when job tasks, performance expectations, and underlying skill demands change substantially over time. This pattern is commonly explained as a simple lag, where pay levels are assumed to be slow to catch up with new economic realities and shifting organizational needs. The underlying cause, however, is more structural, because prestige functions as a signaling shortcut that employers, institutions, and even workers themselves continue to rely on when assessing value under uncertainty. Roles labeled as “professional” or “high status” attract durable assumptions about competence, scarcity, and long-term potential, while less prestigious titles face skepticism, regardless of actual output or measured effectiveness. Additionally, credential systems, ranking practices, and hiring norms reinforce these expectations by rewarding familiarity and recognized labels rather than recalibrated evidence from changing work conditions. Over time, this produces a stable but misleading alignment between reputation and compensation that persists across sectors. Such patterns illustrate that wage outcomes are shaped not only by productivity, but also by inherited signals that resist revision even when contradictory information accumulates.",,17,,,Not Started,,TON-FRK,,180
EXT-JUS-007,ALG-03,JUS,EXT-L,LEX-A,GPT,EXT,,,SYN,PIL-H,,"Over recent decades, the global application of capital punishment has declined unevenly across regions, with many jurisdictions gradually reducing executions while formally retaining the sanction in law. This pattern is often attributed to shifting public attitudes and sustained international pressure, implying a straightforward moral transition away from irreversible penalties. Closer examination of court records and administrative data, however, points to a less visible influence: expanded evidentiary standards, prolonged appeals, and multilayered review processes that significantly extend case timelines and judicial workload. As legal systems seek to manage error and ensure procedural accuracy, the punishment becomes slower, more complex, and less predictable in practice. At the same time, its legal presence can persist as a symbolic marker of severity even as its operational use diminishes within modern governance systems. The result is a system in which statutory authority and practical enforcement drift apart, complicating assumptions about deterrence, legitimacy, and long-term control. This trend suggests that contemporary debates are shaped not only by moral change but also by institutional dynamics that quietly redefine how final sanctions function.",,18,,,Validated,,TON-SCI,,175
EXT-1A-02,ALG-01,SOC,EXT-S,LEX-A,GPT,EXT,,,SYN,PIL-F,,"Recent social research indicates that declining participation in local clubs reflects more than shifting leisure preferences. It is often assumed that people simply replace formal organizations with informal or online connections. However, evidence suggests that clubs once functioned as routine training spaces for civic behavior, providing repeated exposure to meeting procedures, shared decision-making, and modest leadership roles. As membership falls, fewer individuals practice these skills, and confidence in group settings gradually weakens over time. When collective situations later arise, participation feels unfamiliar and inefficient, even for those who still value community involvement. This discomfort discourages reentry and further reduces participation in shared settings. Over time, the decline becomes self-reinforcing. Such findings suggest that organizational loss actively erodes civic capacity rather than merely reflecting disengagement.",,19,,,Validated,,TON-HBRN,,124
EXT-CUL-002,ALG-04,CUL,EXT-S,LEX-A,GPT,EXT,,,SYN,PIL-F,,"Public funding for the arts often produces uneven cultural impact across communities, even when overall spending increases and public support appears politically stable. This is because allocation mechanisms tend to favor established institutions with professional grant-writing capacity rather than emerging or local groups. In practice, large museums or orchestras frequently secure recurring support, while smaller organizations operate with short-term or project-based funding that limits long-term planning. Additionally, evaluation criteria commonly emphasize economic indicators, such as tourism or job creation, which shapes how artistic value is formally recognized by policymakers. Such patterns illustrate that arts funding outcomes are driven less by aggregate budget size than by administrative design, reminding observers that cultural policy frequently reflects institutional incentives as much as creative ambition.",,20,,,Validated,,TON-FRK,,121
EXT-3A-04,ALG-09,SOC,EXT-S,LEX-A,GPT,EXT,,,SYN,PIL-M,,"Research on childcare affordability increasingly intersects with labor economics, revealing patterns that are not visible when each field is examined alone. Studies of household decision-making show that rising childcare fees reshape employment choices in ways similar to long-term contract constraints in labor markets. Because fixed childcare costs must be paid regardless of hours worked, parents often increase work intensity simply to cover access, even when net income gains are minimal. Unexpectedly, this mirrors lock-in effects seen in capital-heavy industries, where high entry costs discourage flexible participation. As a result, employment rates may remain stable while job quality, mobility, and long-term earnings growth quietly erode. This cross-domain perspective suggests that childcare pricing does not just influence whether people work, but how tightly their labor decisions become constrained once they do.",,21,,,Validated,,TON-SCI,,129
EXT-ECN-001,ALG-03,ECN,EXT-S,LEX-A,GPT,EXT,,,SYN,PIL-M,,"In recent economic downturns, governments have increasingly relied on large-scale stimulus programs that emphasize direct cash transfers to households, reflecting a broader shift toward immediate household-level economic stabilization. This approach is often explained by its administrative simplicity and the assumption that recipients will quickly spend the money, thereby stabilizing consumption. Yet spending patterns show that a significant share of these funds is saved or used to pay down debt rather than circulated through the economy. As a result, the immediate impact on growth may be weaker than policymakers anticipate, even while household balance sheets gradually improve over time. This pattern highlights a tension in fiscal strategy, because measures designed for speed and visibility can produce slower, less predictable effects on aggregate recovery.",,22,,,Validated,,TON-HBRN,,122
EXT-4A-04,ALG-03,TEC,EXT-S,LEX-A,GPT,EXT,,,SYN,PIL-H,,"Hydrogen fuel proposals are increasingly promoted as a clean alternative for heavy transport, aviation, and long-term energy storage. Supporters often highlight hydrogen’s high energy content by weight, presenting it as an elegant substitute for fossil fuels. The complication, however, lies in volume rather than chemistry. Even when compressed or liquefied, hydrogen occupies far more space than conventional fuels, creating storage and transport challenges that are easy to underestimate. Tanks must be larger, heavier, and more expensive, which in turn affects vehicle design, infrastructure layout, and overall efficiency. This creates an ironic tension: a fuel praised for its lightness demands bulky systems to contain it. As a result, hydrogen’s technical promise advances faster than the physical systems required to make it practical, leaving a gap between theoretical potential and real-world deployment.",,23,,,Validated,,TON-FRK,,130
EXT-EDU-004,ALG-04,EDU,EXT-S,LEX-A,GPT,EXT,,,SYN,PIL-H,,"Debates over whether private schools should receive public funding often focus on parental choice and competition within education systems. Funding patterns, however, shape incentives that extend beyond enrollment numbers. When private institutions gain stable public revenue, they frequently adjust tuition, admissions, and program offerings in ways that mirror public systems, reducing the distinctiveness that choice advocates anticipate. In several countries, voucher programs correlate with rising administrative costs and selective enrollment practices, even as overall access remains uneven. Additionally, public funds directed toward private providers can dilute budgets for neighborhood schools that serve higher-need populations. These dynamics suggest that the distribution mechanism, rather than the ownership label of a school, influences equity and performance outcomes. In education finance, money alters institutional behavior in predictable ways, regardless of whether schools are publicly or privately governed.",,24,,,Validated,,TON-SCI,,133
EXT-4B-03,ALG-04,ENV,EXT-M,LEX-A,GPT,EXT,,,SYN,PIL-F,,"Peatland drainage is often treated as a manageable land-use choice, especially because the land can look healthy again after changes are reversed. Peatlands are wetlands built from layers of partially decayed plants, and those layers store large amounts of carbon as long as the soil stays wet. When drainage lowers water levels, oxygen reaches the peat, and carbon that took centuries to accumulate begins escaping into the air. Even if the area is later rewetted, that release does not simply pause, because dried peat shrinks and loses its original structure. As a result, water retention weakens and recovery slows far more than surface vegetation suggests. Over time, these steady emissions outweigh the short-term benefits that initially motivate drainage for farming or development. What seems like a flexible policy choice therefore commits the landscape to long-lasting carbon loss, showing how environmental decisions can quietly lock in outcomes well beyond their intended timeframe.",,25,,,Validated,,TON-HBRN,,151
EXT-EDU-009,ALG-07,EDU,EXT-M,LEX-A,GPT,EXT,,,SYN,PIL-F,,"Community colleges are often described as underperforming because many of their students arrive less prepared or face outside responsibilities such as unstable employment or caregiving demands that reduce continuous enrollment opportunities. This explanation emphasizes individual effort, suggesting that completion rates reflect personal discipline rather than institutional design or broader funding realities embedded in allocation formulas. However, closer analysis points elsewhere when enrollment patterns and budgets are examined together over multi-year reporting cycles. These colleges typically serve as open-access institutions while operating with lower and less stable funding than four-year universities that enroll more selective populations and rely on diversified revenue streams. In addition, students are more likely to attend part time, commute long distances, or interrupt enrollment for work and family obligations that complicate course sequencing, extending timelines beyond conventional benchmarks. Seen this way, outcomes reflect structural conditions shaping persistence rather than a simple lack of commitment, reframing how success and effectiveness are interpreted within public discussions of postsecondary education.",,26,,,Validated,,TON-FRK,,160
EXT-5B-02,ALG-03,GOV,EXT-M,LEX-A,GPT,EXT,,,SYN,PIL-M,,"Citizen science projects have expanded rapidly as governments and universities invite volunteers to collect observations on wildlife, pollution, and public health. Digital platforms lower barriers to participation, and the resulting datasets appear broad, timely, and inexpensive to maintain at scale. As participation rises, however, the flow of submissions begins to stress verification systems designed for smaller streams of data. Review queues lengthen, automated filters discard ambiguous entries, and expert oversight shifts toward resolving disputes rather than improving methods. These adjustments quietly reshape what is recorded, favoring easily classified signals over complex but informative cases. Over time, coverage grows while confidence in marginal findings narrows, and some agencies respond by restricting which questions can be asked. The movement still produces impressive volume, yet the practical limits of checking that volume start to define the knowledge it can reliably support. Policy expectations adapt accordingly.",,27,,,Validated,,TON-SCI,,142
EXT-ENV-005,ALG-04,ENV,EXT-M,LEX-A,GPT,EXT,,,SYN,PIL-M,,"International environmental treaties often show uneven compliance among participating states across different regions and policy contexts, even when scientific targets are clearly defined and publicly endorsed. This pattern emerges because enforcement mechanisms differ widely in practice, shaping how governments weigh long-term ecological commitments against short-term economic pressures under domestic political constraints. In some agreements, monitoring systems rely on self-reporting frameworks, allowing states to signal cooperation while quietly delaying costly reforms that affect industrial competitiveness. Additionally, diplomatic norms emphasize consensus and flexibility during negotiations, which can reduce the likelihood that violations trigger formal consequences or sustained reputational costs. Over time, these structural features influence behavior more consistently than stated ambitions or public declarations made at international summits. Such arrangements illustrate that the effectiveness of collective environmental action depends less on the moral urgency of the problem and more on how rules distribute costs, benefits, and accountability across participants within the global system.",,28,,,Validated,,TON-HBRN,,151
EXT-6A-04,ALG-06,ECO,EXT-M,LEX-A,GPT,EXT,,,SYN,PIL-H,,"In labor markets undergoing skills-based hiring reforms, hiring decisions begin to resemble adaptive systems rather than static screens. Employers reduce reliance on formal credentials, expecting job-relevant skills to surface more clearly, yet applicants respond by redirecting effort toward alternative markers that appear measurable and comparable. As a result, portfolios, short-term certifications, and tightly framed assessments take on outsized importance, even when their connection to long-term performance remains uncertain. This shift occurs because signaling pressure does not disappear; it reorganizes around whatever traits seem legible within the revised system. Over time, organizations observe that candidate pools look more diverse on paper while becoming newly sorted along different, less visible dimensions such as access to preparation resources or familiarity with assessment norms. What emerges is not the removal of signaling, but its migration, revealing how selection systems, like ecological niches, quietly reshape behavior in response to changed conditions.",,29,,,Validated,,TON-FRK,,146
EXT-GOV-007,ALG-04,GOV,EXT-M,LEX-A,GPT,EXT,,,SYN,PIL-H,,"Emergency powers are typically introduced during crises when leaders face pressure to act quickly and reassure the public amid uncertainty and widespread fear. These measures are often described as temporary responses to danger, yet their continuation is shaped by ordinary human preferences for familiar tools and reduced effort. For instance, officials who rely on emergency authorities become accustomed to faster approvals, clearer lines of command, and fewer obstacles to action, making older procedures feel slow and impractical. Additionally, courts and the public may grow tolerant of these arrangements when no immediate harm is visible, which lowers the urgency of reversal. Over time, decision makers continue using expanded powers not because the original threat remains severe, but because abandoning them requires sustained attention, political risk, and public explanation. Such patterns illustrate how crisis responses can gradually reset shared expectations about leadership, authority, and restraint within democratic societies.",,30,,,Validated,,TON-SCI,,146
EXT-6B-04,ALG-07,SCI,EXT-L,LEX-B,GPT,EXT,,,SYN,PIL-F,,"Established companies frequently notice that innovation slows as their market position strengthens, often when confidence is highest. The usual explanation focuses on leadership caution or team complacency, especially after periods of commercial success. Yet a closer look often reveals that the more influential force lies in how performance systems gradually evolve over time. As firms mature, evaluation standards become more uniform and reward structures grow increasingly tied to near-term outcomes, narrowing the range of initiatives that appear viable. Investment reviews, designed to promote discipline and predictability, begin to favor proposals that can demonstrate measurable returns within defined time horizons. Over time, managers internalize these signals and shape their ideas accordingly, directing attention toward initiatives that align with prevailing metrics rather than ventures whose value is uncertain. The result is not necessarily a loss of imagination but a steady recalibration of effort toward what the system recognizes and rewards. Such patterns suggest that innovation constraints in mature organizations often arise less from declining ambition than from incentive frameworks that channel risk in restrictive ways.",,31,,,Validated,,TON-HBRN,,173
EXT-HLT-004,ALG-04,HLT,EXT-L,LEX-B,GPT,EXT,,,SYN,PIL-F,,"Across many regions, small rural hospitals have been closing at a steady pace, prompting renewed calls for targeted subsidies and emergency stabilization funds at both state and federal levels. The usual explanation centers on declining populations and limited tax bases, and those factors certainly matter in shaping long-term viability, but administrators describe a more gradual shift in patient behavior that steadily reshapes revenue streams and referral relationships. Increasingly, residents travel to urban centers for specialized procedures and then continue routine care there out of familiarity, perceived convenience, expanded service options, and confidence in larger systems. However, this steady outflow reduces the volume of everyday visits that once stabilized local budgets and supported cross-subsidization of less profitable services such as emergency care. As operating margins narrow, even minor equipment upgrades, technology replacements, or temporary staffing shortages become difficult to absorb without external assistance or delayed investment decisions. These pressures accumulate not through sudden crisis but through ordinary choices repeated over time, leaving communities debating whether subsidies address the habit patterns and referral pathways that quietly sustain the decline.",,32,,,Validated,,TON-FRK,,177
EXT-6B-05,ALG-04,ENV,EXT-L,LEX-A,GPT,EXT,,,SYN,PIL-F,,"Biochar soil amendments, a charcoal-like material made by heating plant matter with little oxygen, are often described as a long-lasting climate solution because the carbon they contain appears stable for centuries and is widely promoted in climate policy discussions. This view comes mainly from laboratory tests that show slow breakdown under controlled conditions, where temperature and moisture stay steady and outside disturbance is limited. However, field research shows that long-term carbon storage depends on soil type, shifting moisture, and microbial life, all of which affect how fast the material breaks down in working landscapes. In tropical regions with uneven rainfall, for example, repeated wetting and drying can speed chemical reactions and lower overall carbon storage, reducing the amount kept in the ground. In addition, spreading biochar at large scale changes soil structure and nutrient supply, shaping root growth and water movement in ways short trials may not capture fully. These combined effects indicate that carbon storage follows natural limits or change points rather than smooth, steady gains, underscoring the need to study climate efforts over longer periods and across varied real-world settings.",,33,,,Validated,,TON-SCI,,182
EXT-INT-009,ALG-09,INT,EXT-L,LEX-A,GPT,EXT,,,SYN,PIL-M,,"When analysts evaluate international environmental treaties, they often focus on headline targets, yet research indicates that effectiveness depends more on the design of enforcement authority written directly into the agreement’s institutional framework. If multilateral bodies or designated oversight panels are empowered to impose trade penalties or financial sanctions on member states that miss emissions or reporting benchmarks, the treaty begins to function like the compliance systems examined in behavioral economics. In that field, credible costs, meaning penalties that are predictable and consistently applied by participating governments, shape routine budgeting and planning decisions inside national ministries and regulatory agencies. Because elected officials operate within fixed fiscal cycles and electoral calendars, even moderate sanctions can shift environmental commitments from aspirational language to line-item expenditures embedded in annual budgets. However, comparative evidence shows that excessively punitive frameworks sometimes prompt calculated delay, as governments balance reputational consequences against domestic political and economic pressures. These dynamics position treaty architecture not simply as legal text but as an incentive structure guiding how attention and resources are allocated over time.",,34,,,Validated,,TON-HBRN,,173
EXT-5A-01,ALG-03,TEC,EXT-M,LEX-A,GPT,EXT,,,SYN,PIL-F,,"Increasingly, vertical farming systems are expanding in dense cities, promoted as a controlled and efficient alternative to conventional field agriculture. Supporters emphasize reduced land use, shorter supply chains, and steady year-round output, noting that stacked indoor crops avoid drought, soil loss, and seasonal volatility that affect outdoor harvests. However, the appeal depends on artificial lighting and precise climate regulation that operate continuously inside enclosed buildings. Those systems draw substantial electricity, particularly for high-intensity LED arrays and large cooling units that prevent heat buildup across multiple growing levels. In practice, operators must balance light exposure, humidity, and air circulation through automated monitoring platforms that rarely power down. As a result, while harvests appear local and resource-saving at the retail level, the overall energy demand shifts upstream to regional grids and power plants, and this transfer complicates claims that geographic proximity alone ensures environmental sustainability.",,35,,,Validated,,TON-FRK,,143
