Name,Rollout_Number,Set,Library Segment,Tier Type,Domain 1,Source Model,Algorithm,MF_count,Passage Version,Status,Word Count,Passage_Text,Revision_Type,Notes,LLM,Origin,EXT,LEX_LVL,PIL,Synced,TONE_REC 1
COR-ENV-008,13,2,CORE,Tier 1,ENV,ESO,Missing,,v1.0,Active,78,"Increasingly, businesses are moving away from single-use plastics in response to public concern and widespread support from consumers and retailers alike worldwide. Paper and recyclable packaging are promoted as greener options, particularly in highly visible consumer settings. Yet studies point to a complication: these materials often consume more water and energy during production, resulting in added strain on resources. As a result, this trend creates an ironic situation where environmental intentions fail to deliver clear ecological benefits.",,,GPT,SYN,,,,,
COR-BIO-008,14,2,CORE,Tier 1,BIO,ASA - LEG,Missing,,v1.0,Active,76,"Coral bleaching happens when warming seas disturb the partnership between corals and the tiny algae that live within them. Heat stress causes the algae to leave, stripping the coral of both its color and its main energy supply. In many tropical regions, extended temperature spikes have destroyed large reef areas within months. This pattern reveals how fragile the balance of marine life can be, and how a minor thermal change can lead to major ecological loss.",,,GPT,SYN,,,,,
COR-HLT-012,15,2,CORE,Tier 1,HLT,ESO,Missing,,v1.0,Active,76,"While childhood immunization programs reduce disease, disputes over exemptions and parental autonomy continue to affect compliance, the routine following of school health requirements. In response, school vaccination mandates have been introduced to raise coverage and protect vulnerable children. The goal is to strengthen public health outcomes. However, critics note that strict enforcement can create resistance, inadvertently weakening trust. These effects suggest that mandatory rules may improve short-term results while complicating transparency and cooperation over time.",,,GPT,SYN,,,,,
COR-ENV-001,16,2,CORE,Tier 1,ENV,ASA - LEG,Missing,,v1.0,Active,73,"Urban heat islands are often blamed on dense concrete, but vegetation coverage plays a less obvious and frequently misunderstood planning role. This is because cooling appears only after greenery reaches a clear threshold, due to combined shading and evaporation that operate at scale. Below that level, small plantings create little temperature change. Additionally, scattered trees can slow airflow and retain warmth. These patterns show that limited greening may fail to reduce urban heat.",,,GPT,SYN,,,,,
COR-ENV-015,17,2,CORE,Tier 1,ENV,ESO,Missing,,v1.1,Active,76,"Energy policymakers in several countries are reconsidering nuclear power for its reliability as climate pressures intensify. Renewable sources, though cleaner, cannot always meet demand during shortages. Several nations are testing small modular reactors that require less fuel and space, since permitting is often simpler than for full scale nuclear plants. Meanwhile, engineers are improving recycling methods as they seek safer waste solutions. This pattern suggests that innovation can arise from necessity rather than from expansion alone.",Anchoring_Stabilization,,GPT,SYN,,,,,
COR-ENV-015,17,2,CORE,Tier 1,ENV,ESO,Missing,,v1.0,Inactive,74,"As climate change accelerates, nuclear power is being reconsidered for its reliability. This is because renewable energy, though cleaner, cannot always meet demand during shortages. Several nations are testing small modular reactors that require less fuel and space, because permitting is often simpler than for full-scale nuclear plants today. Furthermore, recycling methods are improving as engineers seek safer waste solutions. This pattern suggests that innovation can arise from necessity rather than from expansion alone.",,,GPT,SYN,,,,,
COR-HLT-009,18,2,CORE,Tier 1,HLT,ASA - LEG,Missing,5,v1.1,Active,82,"In many households, parents routinely disinfect kitchen counters and toys to protect infants from germs. However, limited exposure to everyday microbes during early childhood may hinder the immune system’s ability to adjust its defenses, increasing the likelihood of allergic or autoimmune reactions later in life. In several industrialized cities, allergy and asthma cases continue to rise despite improved hygiene practices. This pattern suggests that routine microbial exposure may play an essential role in healthy immune development rather than posing a constant threat.","Anchoring_Stabilization, MF_Adjustment",,GPT,SYN,,,,,
COR-HLT-009,18,2,CORE,Tier 1,HLT,ASA - LEG,Missing,,v1.0,Inactive,73,"Research suggests that growing up in overly sanitized settings may unintentionally heighten autoimmune vulnerability. This is because a lack of microbial exposure can hinder the immune system’s ability to calibrate its defenses, causing it to attack harmless substances. In some industrialized cities, allergy and asthma cases are rising despite improved hygiene. This pattern implies that exposure to ordinary microbes may be a crucial part of healthy immune development rather than a health threat.",,,GPT,SYN,,,,,
COR-HLT-022,19,2,CORE,Tier 1,HLT,ESO,Missing,,v1.0,Active,77,"During a recent health emergency, citizens in several towns shared transport and set up free clinics for neighbors who could not reach hospitals. Though the effort was temporary, it showed how universal care might work on a small and inclusive scale. In addition to providing medicine and advice, volunteers built local networks that continued after the crisis, linking families and caregivers. This pattern demonstrates that social solidarity can translate into lasting and measurable health benefits for communities.",,,GPT,SYN,,,,,
COR-BIO-011,20,2,CORE,Tier 1,BIO,ASA - LEG,Missing,6,v1.1,Active,78,"Plant biologists observing insect damage report that plants under attack do not merely suffer in silence. When an insect feeds on their leaves, they emit distinct chemical scents that drift through the air and trigger nearby plants to strengthen their defenses. Some signals even carry information about the kind of pest involved, leading to targeted protective reactions. These findings show that plants engage in a quiet but sophisticated form of communication once thought to belong only to animals.","Anchoring_Stabilization, MF_Adjustment",,GPT,SYN,,,,,
COR-BIO-011,20,2,CORE,Tier 1,BIO,ASA - LEG,Missing,,v1.0,Inactive,75,"Research has revealed that plants under attack do not merely suffer in silence. When an insect feeds on their leaves, they emit distinct chemical scents that drift through the air and trigger nearby plants to strengthen their defenses. Some signals even carry information about the kind of pest involved, leading to targeted protective reactions. This finding shows that plants engage in a quiet but sophisticated form of communication once thought to belong only to animals.",,,GPT,SYN,,,,,
COR-GOV-003,21,3,CORE,Tier 1,GOV,ESO,Missing,,v1.0,Active,76,"As voter participation continues to decline, some nations have considered compulsory voting to reinforce civic responsibility and engagement. Authorities in these systems have imposed small fines for abstention, hoping to normalize regular participation in national elections. While the policy seeks to strengthen democracy, critics argue that it converts a right into an obligation, risking resentment among citizens. This debate clearly reveals how measures intended to protect democratic vitality can also challenge individual autonomy in subtle ways.",,,GPT,SYN,,,,,
COR-SOC-008,22,3,CORE,Tier 1,SOC,ASA - LEG,Missing,,v1.0,Active,77,"Public confidence in institutions appears to be fading, yet the cause may lie less in corruption than in overextension. As organizations take on wider missions, they generate expectations they cannot sustain, producing what researchers describe as expectation drift—an incremental widening between what institutions promise and what they can actually deliver. This mismatch erodes credibility even when performance remains adequate. Such patterns imply that trust depends not on moral virtue, but on transparent limits and realistic scope.",,,GPT,SYN,,,,,
COR-JUS-008,23,3,CORE,Tier 1,JUS,ESO,Missing,,v1.0,Active,70,"Many once believed punishment reduced marijuana use, yet outcomes proved unexpected. When arrests increased, so did illegal sales and growing community distrust toward enforcement agencies. After penalties were lowered and treatment programs expanded nationwide, overall dependency gradually declined. Researchers now suggest that social support networks, not fear or stigma, drive lasting behavioral change. This broader pattern ultimately shows that empathy and inclusion may achieve what coercion and isolation could not.",,,GPT,SYN,,,,,
COR-SOC-003,24,3,CORE,Tier 1,SOC,ASA - LEG,Missing,,v1.0,Active,72,"Today, many people report feeling lonely even while staying in constant online contact with others. Messages and updates arrive all day, yet most exchanges remain brief and easy to replace. This steady flow can weaken social bonds, because attention shifts quickly from one person to the next. Over time, contacts feel thin rather than supportive. This paradox shows that frequent connection does not always lead to care, and may reduce resilience instead.",,,GPT,SYN,,,,,
COR-INT-004,25,3,CORE,Tier 0,INT,ESO,Missing,,v1.0,Active,77,"Refugee numbers have risen as wars and extreme weather push people across borders. While many assume this reflects law and compassion, analysts note that aging states often expand intake because key jobs go unfilled. However, when arrivals increase quickly, local support systems that train and place newcomers may lag, resulting in tension. Yet that same motive can also weaken planning for schools and housing. This pattern suggests that need, not care alone, can drive choices over time.",,,GPT,SYN,,,,,
COR-ECN-003,26,3,CORE,Tier 0,ECN,ASA - LEG,Missing,,v1.1,Active,75,"Greater access to short-term work would normally suggest economic stability, yet the rapid expansion of app-based labor platforms has produced mixed outcomes for workers. While participation rises, access to employer-provided benefits such as health insurance remains limited, increasing exposure to income shocks. Greater work availability might imply security, but flexibility often develops alongside financial uncertainty. In this arrangement, expanded opportunity does not always reduce risk, and gaps in support can persist even as participation grows. ",Anchoring_Stabilization,Anchoring v1.1 update. Reduced population-first predictability; preserved Tier 0 band and counter-intuitive logic. Pivot de-signaled.,GPT,SYN,,,,,
COR-ECN-003,26,3,CORE,Tier 0,ECN,ASA - LEG,Missing,,v1.0,Inactive,70,"Gig work has expanded as technology lowers barriers to short-term jobs, yet this growth produces an unexpected complication. While participation rises, benefit access remains limited, which results in greater exposure to income shocks. This pattern is surprising because increased work availability would normally suggest stability. Instead, flexibility and insecurity advance together, showing that labor trends shaped by platforms can generate structural gaps that are not immediately visible to participants.",,,GPT,SYN,,,,,
COR-GOV-012,27,3,CORE,Tier 0,GOV,ESO,Missing,,v1.0,Active,81,"Extended legislative tenure, the repeated holding of office over many election cycles, is often explained as the outcome of voter loyalty, although closer examination indicates that built-in advantages play a greater role. Because access to fundraising networks and procedural control tends to favor incumbents, competition is gradually reduced. Consequently, support for term limits reflects concern about distorted democratic choice rather than resistance to experience. This perspective reframes political longevity as a systemic effect, not merely a reflection of public preference.",,,GPT,SYN,,,,,
COR-SOC-007,28,3,CORE,Tier 1,SOC,ASA - LEG,Missing,,v1.0,Active,83,"Gentrification, a process shaped by new investment in urban neighborhoods, has increased as funding targets city districts and redevelopment timelines accelerate across multiple housing markets. Although renewal brings new services, a hidden complication follows. Housing costs rise, pushing residents into nearby areas, locations already under rental strain. Consequently, displacement spreads rather than ends. This trend suggests that redevelopment does not simply replace communities in one place but shifts housing pressure across a wider urban landscape.",,,GPT,SYN,,,,,
COR-JUS-003,29,3,CORE,Tier 0,JUS,ESO,Missing,2,v1.1,Active,77,"Public debates about the death penalty often focus on whether it prevents crime, yet many supporters are guided more by a sense of deserved punishment. Because political campaigns repeat these ideas during election seasons and public discussions, worries about convicting innocent people receive less attention in many communities. As a result, lawmakers who oppose the death penalty speak more about fairness than about clear results, and the practice can continue even when its benefits are not certain. ","Anchoring_Stabilization, MF_Adjustment","
Revised to meet CORE Tier-0 MF band with improved early anchoring; now serves as the active T0 member of the COR-JUS-003 calibrated tier set (T0/T1/T2) for lexical calibration.

",GPT,SYN,,,,,
COR-JUS-003,29,3,CORE,Tier 1,JUS,ESO,Missing,4,v1.1,Inactive,72,"Public debates over capital punishment often focus on deterrence as the main reason for its use, yet demands for retribution strongly shape public support across many communities. Because political campaigns and public debates repeat these views, concerns about convicting innocent people receive less attention. As a result, lawmakers who oppose the death penalty speak more about fairness than about clear results, and the practice can continue even when its benefits remain uncertain. ","Anchoring_Stabilization, MF_Adjustment",Revised to meet CORE Tier-0 MF band with improved early anchoring; now serves as the active T0 member of the COR-JUS-003 calibrated tier set (T0/T1/T2) for lexical calibration.,GPT,SYN,,,,,
COR-JUS-003,29,3,CORE,Tier 2,JUS,ESO,Missing,13,v1.1,Inactive,71,"Public debates over capital punishment often focus on deterrence as the primary justification, yet symbolic demands for retribution frequently play a stronger role in shaping support. Because political campaigns and public debates reinforce these views, concerns about wrongful convictions are frequently minimized. Consequently, lawmakers considering abolition tend to argue less about measurable effectiveness and more about moral consistency, revealing how punishment practices can persist even when their practical benefits remain uncertain. ","Anchoring_Stabilization, MF_Adjustment",Revised to meet CORE Tier-0 MF band with improved early anchoring; now serves as the active T0 member of the COR-JUS-003 calibrated tier set (T0/T1/T2) for lexical calibration.,GPT,SYN,,,,,
COR-JUS-003,29,3,CORE,Tier 0,JUS,ESO,Missing,,v1.0,Inactive,70,"Support for the death penalty is frequently explained as a response to crime deterrence. Although closer analysis indicates that symbolic demands for retribution play a stronger role. Because these views are reinforced through political discourse, concerns about wrongful convictions are often minimized. Consequently, debates over abolition usually focus less on empirical effectiveness and more on moral consistency, revealing how punishment practices can persist even when their practical benefits remain uncertain.",,,GPT,SYN,,,,,
COR-SOC-005,30,3,CORE,Tier 1,SOC,ASA - LEG,Missing,,v1.0,Active,86,"Studies of population change show that falling birth rates correspond more strongly with economic security than with shifts in personal values. Researchers increasingly compare family planning to financial decision-making. When income is uncertain and housing costs rise, long-term commitments are delayed. As a result, fertility declines even when interest in children remains. This comparison suggests that economic conditions shape reproductive choices in ways similar to other risk-based decisions, challenging the belief that attitudes alone explain demographic change.",,,GPT,SYN,,,,,
COR-TEC-003,31,4,CORE,Tier 1,TEC,ESO,Missing,,v1.0,Active,72,"Increasingly, social media platforms promote youth protections, presenting age controls as tools for mental health support. Public attention focuses on safety, while a less visible driver is advertisers’ demand for precise audience categories. Stricter age limits often push minors to falsify profiles to retain access. This behavior reduces data accuracy, resulting in unreliable measurements and weaker transparency. These outcomes show how policies meant to protect young users can unintentionally disrupt system integrity.",,,GPT,SYN,,,,,
COR-TEC-006,32,4,CORE,Tier 2,TEC,ASA - LEG,Missing,10,v1.1,Inactive,70,"Companies deploying automated hiring software often focus on correcting visible coding errors when biased results appear. Developers may assume that unequal outcomes stem from poor design choices. However, training datasets frequently contain subtle distortions drawn from existing social patterns. Because these datasets are reused across many applications, small imbalances can expand over time. As a result, bias may originate before coding even begins, limiting the effectiveness of technical fixes alone.",,,"CLD-SO, GPT",SYN,,,,,
COR-TEC-006,32,4,CORE,Tier 1,TEC,ASA - LEG,Missing,3,v1.1,Active,73,"Companies using automated hiring software often focus on fixing visible coding errors when biased results appear. Developers may assume that unequal outcomes come from poor design choices. However, training data often contain hidden structural patterns drawn from existing social conditions. Because this data is used again across many systems, small uneven differences can grow over time. As a result, bias may begin before coding starts, limiting how much technical fixes alone can help.",,,"CLD-SO, GPT",SYN,,,,,
COR-TEC-006,32,4,CORE,Tier 1,TEC,ASA - LEG,Missing,,v1.0,Inactive,74,"The spread of machine learning has raised concern about algorithmic bias, usually blamed on poor programming choices. At first, many developers believed errors came from weak optimization or design mistakes. However, analysis shows that training data often contain subtle anomalies drawn from real social patterns. Since these datasets are reused widely, small distortions grow larger over time. This finding indicates that bias often begins before coding, a counterintuitive result that limits simple technical fixes.",,,GPT,SYN,,,,,
COR-TEC-012,33,4,CORE,Tier 1,TEC,ESO,Missing,,v1.0,Active,70,"Increasingly, AI-generated material appears across digital platforms without clear identification. Public debate focuses on protecting audiences, while a quieter driver involves organizations trying to maintain credibility and public legitimacy. Labeled content is sometimes viewed with suspicion, even when it is accurate. This reaction discourages disclosure, resulting in reduced transparency rather than greater clarity. These outcomes show how efforts to inform users can unintentionally weaken trust instead of strengthening it.",,,GPT,SYN,,,,,
COR-PHY-003,34,4,CORE,Tier 1,PHY,ASA - LEG,Missing,,v1.0,Active,70,"Some buildings remain cooler than expected even during extreme heat. This happens because phase-change materials facilitate heat absorption as they melt, quietly controlling thermal flow. When outdoor temperatures rise, extra heat is stored instead of moving indoors, which delays warming. However, after the material fully changes state, this effect fades. This pattern shows that unseen material behavior, rather than insulation thickness alone, plays a key role in thermal regulation.
",,,GPT,SYN,,,,,
COR-ECN-008,35,4,CORE,Tier 1,ECN,ESO,Missing,,v1.0,Active,70,"While app-based work offers flexibility, it often leaves workers without stable protections. In response, governments have considered classifying gig workers as employees to guarantee benefits and labor rights. The aim is to reduce insecurity and prevent companies from avoiding responsibility. Some observers note that higher costs could limit job availability on these platforms. These concerns indicate that policies designed to protect workers may also reduce short-term earning options.",,,GPT,SYN,,,,,
COR-TEC-007,36,4,CORE,Tier 2,TEC,ASA - LEG,Missing,9,v1.1,Inactive,77,"Insurance companies using predictive tools often emphasize efficiency when reviewing large numbers of policyholders. Yet the algorithms these instruments utilize often mirror earlier pricing decisions found in historical claims data, sometimes without the awareness of current analysts. When models draw on past practices, existing disparities may carry forward into new assessments. As a result, patterns can grow stronger over time without direct intent. Responsibility may blur when automated decisions shape access to coverage across thousands of cases.","Anchoring_Stabilization, MF_Adjustment",,"CLD-SO, GPT",SYN,,,,,
COR-TEC-007,36,4,CORE,Tier 1,TEC,ASA - LEG,Missing,5,v1.1,Active,70,"Insurance companies using scoring tools often emphasize efficiency when reviewing large numbers of clients. Yet the algorithms these instruments use can mirror earlier pricing decisions found in historical claims data. When models draw on past practices, existing gaps may carry forward into new reviews. As a result, patterns can grow stronger over time without direct intent. Responsibility may blur when automated decisions shape access to coverage across thousands of cases.","Anchoring_Stabilization, MF_Adjustment",,"CLD-SO, GPT",SYN,,,,,
COR-TEC-007,36,4,CORE,Tier 1,TEC,ASA - LEG,Missing,,v1.0,Inactive,74,"Institutions using predictive algorithms often promote them as efficient and objective. However, these systems can create feedback loops that favor certain outcomes based on past data and historical institutional practices. As a result, existing patterns may be reinforced over time without clear intent. Moreover, responsibility becomes unclear when automated predictions guide decisions at scale. This situation shows that organizational choices, not just technology, play a major role in amplifying the effects of predictive systems.
",,,GPT,SYN,,,,,
COR-TEC-018,37,4,CORE,Tier 1,TEC,ESO,Missing,,v1.0,Active,70,"While automated vehicles are promoted as safer than human drivers, their use on public roads creates regulatory challenges. In response, authorities have discussed allowing limited testing under controlled conditions. The goal is to reduce accidents while supporting innovation in transportation systems. Some observers argue that responsibility becomes unclear when automated systems fail. These concerns indicate that safety improvements may be accompanied by legal uncertainty, which complicates decisions about widespread adoption.
",,,GPT,SYN,,,,,
COR-PHY-006,38,4,CORE,Tier 1,PHY,ASA - LEG,Missing,,v1.0,Active,70,"Synthetic materials that create electricity when compressed have connected physics with everyday infrastructure in surprising ways. Since these engineered materials turn pressure into electrical energy, researchers have tested them in bridges and walkways. Ongoing vibrations allow small amounts of power to be produced during routine activity without extra effort. Unexpectedly, ordinary environments become useful energy sources. This case shows how designed materials can expand where and how energy is gathered.",,,GPT,SYN,,,,,
COR-TEC-025,39,4,CORE,Tier 1,TEC,ESO,Missing,,v1.0,Active,85,"Genetic engineering is often framed as a tool for treating disease, driven by rapid scientific progress for therapeutic purposes. However, once such practices become accepted within medical contexts, expectations may expand beyond health needs alone, even if initial safeguards are imposed. Enhancements unrelated to medicine could appear more reasonable over time, particularly as social comparisons intensify and technological access widens. This outcome suggests that allowing limited genetic changes may slowly reshape social norms, resulting in broader acceptance rather than remaining strictly controlled by original intentions.
",,,GPT,SYN,,,,,
COR-TEC-009,40,4,CORE,Tier 1,TEC,ASA - LEG,Missing,,v1.0,Active,73,"When autonomous vehicles fail, the cause is often assumed to be defective technology, yet analysis shows that training methods play a larger role. Systems learn mainly from common driving patterns, which leaves unusual situations poorly understood. Furthermore, efforts to improve overall accuracy can reduce attention to rare events. As a result, failures reflect design priorities rather than simple technical mistakes. This explanation reframes the problem as a training challenge, not a hardware limitation.",,,GPT,SYN,,,,,
COR-EDU-003,41,5,CORE,Tier 2,EDU,ESO,Missing,,v1.0,Active,81,"Increasingly, state-funded college promise programs and tuition-free community college initiatives are linked to higher enrollment. Public debate focuses on fairness, while a quieter driver is the effort to expand the skilled workforce. However, rapid enrollment growth can overwhelm campuses and instructional resources at under-resourced public institutions. This strain reduces advising and support services, resulting in lower completion rates for some students. These outcomes show how expanding access through limited U.S. programs can unintentionally affect educational quality over time and across states.",,,GPT,SYN,,,,,
COR-BIO-001,42,5,CORE,Tier 1,BIO,ASA - LEG,Missing,,v1.0,Active,81,"Invasive species are often blamed for direct ecological damage, yet their most severe effects operate through indirect mechanisms. When a non-native organism enters an ecosystem, it can alter feeding relationships, which reshapes resource distribution and triggers cascading changes. Although initial impacts may appear limited, these linked effects accumulate across species over time. Consequently, ecosystems can become less stable without obvious collapse. This pattern demonstrates that disruption frequently emerges from networked interactions, rather than from the dominance of a single aggressive species.",,,GPT,SYN,,,,,
COR-HLT-008,43,5,CORE,Tier 1,HLT,ESO,Missing,,v1.0,Active,73,"Opt-out organ donation policies are often credited with improving supply, particularly in countries seeking rapid systemic reform. At first, officials believed that changing legal defaults would automatically raise participation. Yet evidence shows that family refusal frequently nullifies formal consent at the bedside. In addition, hospital procedures differ widely due to staffing constraints and risk-averse institutional norms. This pattern indicates that institutional practice, rather than public belief, largely determines whether organs are ultimately donated.",,,GPT,SYN,,,,,
COR-SCI-004,44,5,CORE,Tier 2,SCI,ASA - LEG,Missing,9,v1.1,Inactive,77,"Moments of mild pressure during learning can alter how memories are encoded. Short bursts of activity in the body’s stress hormones appear to strengthen consolidation, leading to more stable recall several days later. In controlled experiments, participants under moderate pressure remembered material more reliably than those in relaxed settings. However, this advantage disappears when stress becomes prolonged or excessive. Rather than operating in a simple positive or negative way, stress appears to influence memory according to its intensity and duration.","Anchoring_Stabilization, MF_Adjustment",,GPT,SYN,,,,,
COR-SCI-004,44,5,CORE,Tier 1,SCI,ASA - LEG,Missing,4,v1.1,Active,74,"Moments of mild pressure during learning can alter how memories are stored. Short bursts occur when the body releases stress hormones, which appear to strengthen memory formation and support more stable recall several days later. In controlled experiments, participants under moderate pressure remembered material more reliably than those in relaxed settings. However, this advantage disappears when stress becomes too strong or lasts too long. Rather than working in a simple positive or negative way, stress seems to affect memory depending on how intense it is and how long it lasts.","Anchoring_Stabilization, MF_Adjustment",,GPT,SYN,,,,,
COR-SCI-004,44,5,CORE,Tier 1,SCI,ASA - LEG,Missing,,v1.0,Inactive,74,"A recent study has found that stress hormones can support memory formation, despite their negative reputation. While extended stress weakens recall, short periods of hormonal activation during learning appear to strengthen consolidation, leading to more stable memories. In controlled experiments, individuals under mild pressure recalled information more reliably several days later. However, this effect fades when stress becomes excessive. Such findings indicate that stress plays a complex and counterintuitive role in shaping learning outcomes.",,,GPT,SYN,,,,,
COR-GOV-008,45,5,CORE,Tier 1,GOV,ESO,Missing,,v1.0,Active,72,"
Campaigns are often criticized for depending on large financial supporters, which elevates some voices over others. This pattern is reinforced by systems that favor scale, giving repeat donors lasting influence over agenda-setting and candidate access in competitive races. As a result, candidates may prioritize narrow interests instead of public needs. These patterns suggest that the problem lies less with individuals and more with institutional incentives, an insight that complicates simple legal fixes.

",,,GPT,SYN,,,,,
COR-ENV-006,46,5,CORE,Tier 2,ENV,ASA - LEG,Missing,,v1.0,Active,74,"Recent climate research has highlighted a less visible risk linked to Arctic warming, including subsurface anomalies. While surface ice loss is easy to observe, scientists have found that thawing frozen soils release methane from long-stable ground layers, strengthening atmospheric heat retention. For example, field measurements show higher emissions after unusually warm summers. However, this process often goes unnoticed. Such findings suggest that climate change may advance faster than expected due to hidden subsurface mechanisms.
",,,GPT,SYN,,,,,
COR-TEC-008,47,5,CORE,Tier 1,TEC,ESO,Missing,,v1.1,Active,82,"When city governments buy facial recognition software for public safety programs, the tools are often presented as focused security solutions. However, use of the technology can expand because organizations benefit from widespread adoption. Since technology companies profit from collecting large data sets, systems may spread beyond their original purpose. Banning some public uses may not slow expansion, especially when business agreements influence purchasing decisions. In this way, financial incentives rather than security needs may sustain the growth of surveillance systems across regions.","Anchoring_Stabilization, MF_Adjustment","Governance Note — MF Recalibration

This passage was revised to reduce institutional vocabulary density and align with B10 Canon v3.0 MF limits. Vocabulary levels were verified using Pearson CEFR classifications, and ""organizations"" was excluded from the MF count (B1–B2).

Final MF Count: 6
Tier Classification: Tier 1.
","CLD-SO, GPT",SYN,,,,,
